iter	Passed	Remaining
0	0	55
1	1	49
2	1	49
3	1	44
4	2	43
5	3	47
6	3	49
7	4	49
8	5	51
9	6	54
10	6	53
11	7	52
12	7	52
13	8	52
14	9	51
15	9	50
16	10	49
17	10	49
18	11	47
19	11	47
20	12	46
21	12	45
22	13	44
23	14	44
24	14	43
25	15	42
26	15	42
27	16	41
28	16	40
29	17	40
30	17	39
31	18	39
32	19	38
33	19	38
34	20	37
35	20	37
36	21	36
37	22	36
38	22	35
39	23	34
40	23	34
41	23	33
42	24	32
43	24	31
44	25	30
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	28	26
52	29	26
53	29	25
54	30	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	36	16
69	37	15
70	37	15
71	38	14
72	38	14
73	39	13
74	39	13
75	40	12
76	40	12
77	41	11
78	41	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	45	8
85	45	7
86	46	6
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	51	2
96	52	1
97	52	1
98	53	0
99	53	0
